title,project_id,milestone,month,cost,completion,budget,funds_distributed,milestones_qty,som_signoff_count,poa_signoff_count,outputs_approved,success_criteria_approved,evidence_approved,poa_content_approved
Mesh: Cquisitor - Transaction Investigation Tool,1300134,1,1,40000,20,200000,112000,5,1,1,true,true,true,true
Mesh: Cquisitor - Transaction Investigation Tool,1300134,2,2,40000,40,200000,112000,5,1,1,true,true,true,true
Mesh: Cquisitor - Transaction Investigation Tool,1300134,3,3,40000,60,200000,112000,5,1,1,true,true,true,true
Mesh: Cquisitor - Transaction Investigation Tool,1300134,4,4,40000,0,200000,112000,5,1,0,false,false,false,false
Mesh: Cquisitor - Transaction Investigation Tool,1300134,5,5,40000,0,200000,112000,5,1,0,false,false,false,false
Mesh: Hydra Tools for administrating & interacting with Hydra Heads,1300135,1,1,40000,20,200000,112000,5,1,1,true,true,true,true
Mesh: Hydra Tools for administrating & interacting with Hydra Heads,1300135,2,2,40000,40,200000,112000,5,1,1,true,true,true,true
Mesh: Hydra Tools for administrating & interacting with Hydra Heads,1300135,3,3,40000,60,200000,112000,5,1,1,true,true,true,true
Mesh: Hydra Tools for administrating & interacting with Hydra Heads,1300135,4,4,40000,0,200000,112000,5,1,0,false,false,false,false
Mesh: Hydra Tools for administrating & interacting with Hydra Heads,1300135,5,5,40000,0,200000,112000,5,1,0,false,false,false,false
